RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
605,Patatas Gomez,55.3,Spain,Food & Beverages,64281674,17148556,120,50,1963
606,Bobs Gastronomie,55.1,Germany,Hospitality & Travel,17131614,4594193,451,210,2007
607,Comfort Click,55,United Kingdom of Great Britain and Northern Ireland,Ecommerce,59667921,15526354,8,1,2005
608,Fruggr,55,France,IT & Software,2524472,678211,52,8,2020
609,Autoeasy,54.8,France,Automotive,5727902,1542824,6,4,2011
610,COSMET GROUP,54.8,Italy,Construction & Engineering,25004735,6736688,95,55,1992
611,Zugvogel Speditions,54.8,Austria,Logistics & Transportation,90619000,24426837,83,22,2015
612,CVEP,54.8,Germany,Automotive,3742195,1009585,15,5,2016
613,Falk Berberich Consulting,54.6,Germany,Management consulting,2059661,556999,12,4,2017
614,Optimisation Habitat Energie,54.6,France,Construction & Engineering,3373515,913032,16,9,2013
615,Valor Real Estate Partners,54.5,United Kingdom of Great Britain and Northern Ireland,Real Estate,17278894,4534586,49,23,2016
616,Inbagno,54.4,Italy,Ecommerce,6192331,1682879,15,6,2017
617,Mevisio,54.3,Sweden,IT & Software,2229189,672960,13,6,2017
618,Zimmerei Nordmann,54.2,Germany,Construction & Engineering,7605094,2074577,17,10,2010
619,MCR Conference,54.2,Italy,Education & Social Services,2340287,638678,14,11,2012
620,Déco,54.1,Italy,Construction & Engineering,32085193,8767830,30,13,2010
621,Imaginary Cloud,53.9,Portugal,IT & Software,4173323,1145120,68,32,2010
622,Scuccato S.A.,53.7,Italy,Construction & Engineering,7892195,2172709,31,19,2012
623,Heca,53.7,Italy,"Fintech, Financial Services & Insurance",3002914,826865,17,12,2009
624,Prosapient,53.7,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",32629625,8704184,244,68,2017
625,Fair Collection,53.6,Norway,"Fintech, Financial Services & Insurance",4740892,1412314,35,6,2018
626,L'ABCD,53.6,Italy,IT & Software,3463791,956752,7,5,2014
627,Qurated Network,53.4,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",7092323,1904980,21,9,2016
628,EasyPark Group,53.3,Sweden,IT & Software,297660000,82569000,898,455,2002
629,Tern Bicycles,53.2,Italy,Wholesale,13151349,3656198,2,1,2007
630,Greyfood,53.2,Germany,Wholesale,31347786,8720997,13,6,2016
631,Parser,53.2,United Kingdom of Great Britain and Northern Ireland,IT & Software,22981512,6196820,182,144,2017
632,Imaco,53.1,Italy,Construction & Engineering,54541099,15202809,173,74,2006
633,Netx64,53.1,Italy,IT & Software,2661375,742106,13,8,2006
634,IBO International Brands Online,53,Germany,Ecommerce,5417688,1513302,18,7,2015
635,Revolve Healthcare,52.9,Poland,IT & Software,1895564,504698,38,13,2017
636,ESYEN,52.8,Italy,IT & Software,2296000,643371,38,25,2012
637,Wellynx,52.8,Italy,Energy & Utilities,4227637,1185871,17,10,2011
638,Schleeh & Wohlfahrt,52.7,Germany,Construction & Engineering,2624731,737878,18,2,2018
639,Testbusters,52.6,Italy,Education & Social Services,8696024,2445471,31,9,2014
640,Silverline Italia,52.6,Italy,Wholesale,6413015,1805617,6,0,2017
641,Camping-Car Park,52.5,France,Hospitality & Travel,20188364,5696744,108,51,2011
642,Robaws,52.4,Belgium,IT & Software,3280000,927000,25,13,2008
643,Pricing Monkey,52.4,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",1892990,518421,9,6,2016
644,SPI Finestre,52.3,Italy,Construction & Engineering,43232514,12227451,200,120,1985
645,Tecalis,52.3,Spain,IT & Software,14369579,4064530,36,20,2008
646,One Italy,52.3,Italy,Real Estate,8830000,2500000,6,1,2020
647,Medinbox,52.3,France,IT & Software,5307874,1503406,32,3,2010
648,Costa Edutainment,52.3,Italy,Leisure & Entertainment,75337775,21344742,212,185,1992
649,Herold Ingenieurgesellschaft,52.2,Germany,Construction & Engineering,17243102,4885962,119,73,2008
650,Cansativa Group,52.2,Germany,Chemicals,16470964,4671822,40,13,2017
651,Westrafo,52.2,Italy,Energy & Utilities,77713993,22044106,131,70,2014
652,Funnel,52.2,Sweden,Advertising & Marketing,37889535,11910667,321,156,2016
653,Jenolite,52.1,United Kingdom of Great Britain and Northern Ireland,Retail,7126462,1962007,9,3,2013
654,Masthaven,52,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",15146231,4177369,27,8,1999
655,ITFS,51.8,Poland,IT & Software,38395102,10446846,600,230,2012
656,AIHR,51.7,"Netherlands, Kingdom of the",Education & Social Services,12523161,3584468,77,28,2016
657,Knights Pharmacy,51.7,United Kingdom of Great Britain and Northern Ireland,Health Care & Life Sciences,85966211,23855497,530,210,1984
658,Lumosa,51.7,Germany,Electrical Manufacturing,15280446,4377955,33,15,2017
